time,vtec_tecu,vtec_model
2026-01-27 00:00:00,16.91083907664766,19.33201802171628
2026-01-27 00:10:00,17.974033385155845,19.664752808698083
2026-01-27 00:20:00,18.525644656214915,18.64648109362021
2026-01-27 00:30:00,19.240494148341455,19.04982939500011
2026-01-27 00:40:00,20.05757375002984,19.495677361679004
2026-01-27 00:50:00,18.65165394239323,19.75246194161923
2026-01-27 01:00:00,18.900111718933843,14.24491655848624
2026-01-27 01:10:00,17.002178138492173,12.235526635383115
2026-01-27 01:20:00,11.573555753625476,11.27673807742821
2026-01-27 01:30:00,18.881373307754757,18.339466577485315
2026-01-27 01:40:00,19.490741288402546,19.616184488946487
2026-01-27 01:50:00,16.431283014505436,13.376109200986896
2026-01-27 02:00:00,17.691603966140818,11.81767799675974
2026-01-27 02:10:00,11.001618516989986,12.287293158106115
2026-01-27 02:20:00,11.789675199312102,13.43133326298402
2026-01-27 02:30:00,11.709354519263366,14.095174012035688
2026-01-27 02:40:00,12.397501519161663,13.411975301267365
2026-01-27 02:50:00,12.789288762172433,13.541213671387561
2026-01-27 03:00:00,11.869346107345297,11.379360182105064
2026-01-27 03:10:00,12.894529884201104,11.35043259712507
2026-01-27 03:20:00,14.297744965195255,12.214620154340453
2026-01-27 03:30:00,16.005043936009216,14.218192841652982
2026-01-27 03:40:00,18.538034824621363,15.58816779836917
2026-01-27 03:50:00,19.269928062475195,15.255156115716787
2026-01-27 04:00:00,20.681216877925095,17.959662111202825
2026-01-27 04:10:00,19.553421958223538,20.144210983372776
2026-01-27 04:20:00,17.292866971174504,19.909469863760172
2026-01-27 04:30:00,11.96071794541707,9.008821531015867
2026-01-27 04:40:00,13.38105897087285,16.375212722043326
2026-01-27 04:50:00,13.088135493539255,15.174838521309688
2026-01-27 05:00:00,11.365537575694916,7.464838862907907
2026-01-27 05:10:00,11.90476062284603,14.442299503895399
2026-01-27 05:20:00,9.983860077983145,9.062126333150314
2026-01-27 05:30:00,8.204265890296927,9.354979860239421
2026-01-27 05:40:00,7.218318970283768,9.979683783631522
2026-01-27 05:50:00,6.641326886776795,8.92270334112915
2026-01-27 06:00:00,6.74852070626542,7.61101562951762
2026-01-27 06:10:00,6.498483939872838,6.881072794405831
2026-01-27 06:20:00,6.742088386996723,8.02233929330818
2026-01-27 06:30:00,13.866100276943115,14.110589924902031
2026-01-27 06:40:00,13.199058807046427,11.941898375357763
2026-01-27 06:50:00,12.70825567336706,12.29709004732635
2026-01-27 07:00:00,14.03567679801338,19.724927483205164
2026-01-27 07:10:00,14.870811566658787,21.554730710718573
2026-01-27 07:20:00,12.576877922069349,17.930264883447443
2026-01-27 07:30:00,11.418667895243466,14.87378757837655
2026-01-27 07:40:00,15.162229372740171,13.04341968598397
2026-01-27 07:50:00,14.472919466471959,10.379971074794804
2026-01-27 08:00:00,14.517180474664857,13.185551930240035
2026-01-27 08:10:00,19.154462262615404,41.99325274320647
2026-01-27 08:20:00,16.125974523178165,19.222320635293023
2026-01-27 08:30:00,16.14848263069251,21.203256819889596
2026-01-27 08:40:00,17.997695745824444,20.725575444596473
2026-01-27 08:50:00,21.348571060222426,17.66742629877199
2026-01-27 09:00:00,20.606796116503297,19.03474315671535
2026-01-27 09:10:00,16.97137397027023,18.62500807558684
2026-01-27 09:20:00,16.79558626688643,18.34679265100838
2026-01-27 09:30:00,16.65881421321719,19.058079037986623
2026-01-27 09:40:00,14.95884887665818,19.766061899976336
2026-01-27 09:50:00,11.971564404253385,20.289433284417306
2026-01-27 10:00:00,7.9870628205201335,15.561916630718704
2026-01-27 10:10:00,7.788824328427497,17.23766095357038
2026-01-27 10:20:00,9.918432210277015,15.98920809026184
2026-01-27 10:30:00,12.925509478393238,14.601752976838505
2026-01-27 10:40:00,16.543239123795864,21.5024046418862
2026-01-27 10:50:00,15.901927713149021,24.2410929426852
2026-01-27 11:00:00,20.260159497470433,27.188927438552078
2026-01-27 11:10:00,24.80075651407056,25.830383739726262
2026-01-27 11:20:00,22.00648465836032,16.14560387919688
2026-01-27 11:30:00,16.625060010617922,14.390345479532655
2026-01-27 11:40:00,14.497173570984032,17.187471030741364
2026-01-27 11:50:00,15.082042492711244,13.642828107057994
2026-01-27 12:00:00,13.93251199067695,11.836416103419191
2026-01-27 12:10:00,14.005870505819336,13.583863839524872
2026-01-27 12:20:00,16.28860477687109,17.468385809492307
2026-01-27 12:30:00,16.362154684294612,19.493573092820967
2026-01-27 12:40:00,15.109811614374006,18.28569245895597
2026-01-27 12:50:00,14.809734734015002,18.31008936571001
2026-01-27 13:00:00,16.09136025812706,15.062485569096406
2026-01-27 13:10:00,18.58980212294337,18.716212495996654
2026-01-27 13:20:00,16.28938401584325,16.768238603149353
2026-01-27 13:30:00,14.69241645591887,14.738439530046062
2026-01-27 13:40:00,10.977292937532638,9.47001763546892
2026-01-27 13:50:00,7.325222742453986,7.992068871688944
2026-01-27 14:00:00,7.1862240199077405,4.996244056374438
2026-01-27 14:10:00,6.4097467091189095,5.220515300893279
2026-01-27 14:20:00,6.346506430530395,5.175567174309758
2026-01-27 14:30:00,6.8041625132226375,4.987700334145244
2026-01-27 14:40:00,6.159847059419386,5.236118025863085
2026-01-27 14:50:00,5.801592959391682,5.433891626738801
2026-01-27 15:00:00,4.382061814882443,2.5790747763239
2026-01-27 15:10:00,3.432047761959171,2.7521061542150154
2026-01-27 15:20:00,2.4723981187119373,3.844532134384812
2026-01-27 15:30:00,2.016129132453881,4.8199536504828595
2026-01-27 15:40:00,2.1331033795228205,4.420189530281817
2026-01-27 15:50:00,2.0705372267132294,4.129335376998046
2026-01-27 16:00:00,2.797303022896541,4.808715005765159
2026-01-27 16:10:00,2.789762600315621,4.740958593551823
2026-01-27 16:20:00,3.1871478628774446,4.107838779367304
2026-01-27 16:30:00,3.894631747250447,4.515753196347737
2026-01-27 16:40:00,4.2034231158798825,4.584068529139888
2026-01-27 16:50:00,4.280313047159863,4.748412071581737
2026-01-27 17:00:00,4.522395365186442,4.809729134831002
2026-01-27 17:10:00,4.526847501007442,4.5532183240877435
2026-01-27 17:20:00,4.52288273197481,4.377694021225686
2026-01-27 17:30:00,4.356264445925939,4.556155293403406
2026-01-27 17:40:00,4.3829591491086735,4.673364210467521
2026-01-27 17:50:00,4.639527167665932,4.992940634931465
2026-01-27 18:00:00,3.9277008603964223,4.905833382385147
2026-01-27 18:10:00,4.2583644026960865,5.091709571938624
2026-01-27 18:20:00,4.51163144555486,5.356327974487606
2026-01-27 18:30:00,3.732099720587492,5.710219308133443
2026-01-27 18:40:00,4.149716170113654,6.1034414193828415
2026-01-27 18:50:00,4.00876847496828,6.567261536692202
2026-01-27 19:00:00,3.341425403270411,5.154918562262036
2026-01-27 19:10:00,2.867234103275413,4.86255515242837
2026-01-27 19:20:00,3.1625736787023606,3.0757144821726525
2026-01-27 19:30:00,3.0503281490772336,3.2797111070127327
2026-01-27 19:40:00,3.026028058726938,3.4959425721570625
2026-01-27 19:50:00,2.9864367382978956,4.03069898733078
2026-01-27 20:00:00,2.810578084768537,5.3771208699930355
2026-01-27 20:10:00,3.6863993179907624,6.002239404144725
2026-01-27 20:20:00,3.942750907642419,6.29984811382187
2026-01-27 20:30:00,3.7307068968510135,6.245049041949439
2026-01-27 20:40:00,4.288595662737416,6.3285816505961066
2026-01-27 20:50:00,4.179027006696011,6.370511848249873
2026-01-27 21:00:00,4.1064452505819755,6.691346349929308
2026-01-27 21:10:00,4.550148105423885,6.85117967135519
2026-01-27 21:20:00,4.7079532185713715,7.772531211794222
2026-01-27 21:30:00,4.631191121323855,6.699391370057974
2026-01-27 21:40:00,4.333681696401039,6.457462036453806
2026-01-27 21:50:00,3.176145534733858,5.727685416610299
2026-01-27 22:00:00,3.026055625828132,4.47834820193417
2026-01-27 22:10:00,2.879808251794701,4.930995971271113
2026-01-27 22:20:00,2.737378403023598,4.920476752804088
2026-01-27 22:30:00,2.9979776436718564,4.806985297655252
2026-01-27 22:40:00,3.361981341021302,4.724263073820405
2026-01-27 22:50:00,4.506852019955787,4.943435541647579
2026-01-27 23:00:00,6.308848258620605,12.11412801532342
2026-01-27 23:10:00,8.315462905305427,12.568504135336621
2026-01-27 23:20:00,10.014313216842709,10.624387113155763
2026-01-27 23:30:00,10.954632659782105,10.609668042987336
2026-01-27 23:40:00,13.162514207369341,10.823543029678227
2026-01-27 23:50:00,14.679718991605593,11.006834238989974
