station,station_lat_deg,lst_bin,vtec_median
SALU,-2.593459472610499,0,22.530645001351967
SALU,-2.593459472610499,1,14.034171590496356
SALU,-2.593459472610499,2,15.895011406142295
SALU,-2.593459472610499,3,11.20726266378037
SALU,-2.593459472610499,4,8.184919145587283
SALU,-2.593459472610499,5,5.377079443875701
SALU,-2.593459472610499,6,6.956289456063514
SALU,-2.593459472610499,7,14.92248341993208
SALU,-2.593459472610499,8,23.89743472138504
SALU,-2.593459472610499,9,30.153286122465474
SALU,-2.593459472610499,10,26.54961618037278
SALU,-2.593459472610499,11,20.01409684233299
SALU,-2.593459472610499,12,18.741351722123696
SALU,-2.593459472610499,13,18.781478125617014
SALU,-2.593459472610499,14,24.039488001401047
SALU,-2.593459472610499,15,21.833453697011972
SALU,-2.593459472610499,16,25.16453526939172
SALU,-2.593459472610499,17,33.57695939401429
SALU,-2.593459472610499,18,36.964895265377386
SALU,-2.593459472610499,19,24.426591539886196
SALU,-2.593459472610499,20,14.966141296713888
SALU,-2.593459472610499,21,11.603598755319878
SALU,-2.593459472610499,22,16.620650331323752
SALU,-2.593459472610499,23,20.82090892491089
HKWS,22.434282365383602,0,2.61654404323093
HKWS,22.434282365383602,1,4.641226648662478
HKWS,22.434282365383602,2,3.9026418570955057
HKWS,22.434282365383602,3,3.094570382560928
HKWS,22.434282365383602,4,3.030888984194201
HKWS,22.434282365383602,5,3.7243780383092155
HKWS,22.434282365383602,6,3.0446736050389087
HKWS,22.434282365383602,7,9.251512634638315
HKWS,22.434282365383602,8,16.091167015124746
HKWS,22.434282365383602,9,14.172443848532675
HKWS,22.434282365383602,10,12.473839209066549
HKWS,22.434282365383602,11,18.252134164800815
HKWS,22.434282365383602,12,23.745853096488908
HKWS,22.434282365383602,13,10.350531910004843
HKWS,22.434282365383602,14,9.027483514639481
HKWS,22.434282365383602,15,16.557607944669314
HKWS,22.434282365383602,16,30.05947121294847
HKWS,22.434282365383602,17,17.16295140057851
HKWS,22.434282365383602,18,11.935574840364055
HKWS,22.434282365383602,19,18.013847382195564
HKWS,22.434282365383602,20,12.143793737295749
HKWS,22.434282365383602,21,11.86549118474831
HKWS,22.434282365383602,22,4.71605417085539
HKWS,22.434282365383602,23,2.4243547305566433
COSO,35.98234320031499,0,4.806864379470554
COSO,35.98234320031499,1,3.0930196765389995
COSO,35.98234320031499,2,2.515729839635485
COSO,35.98234320031499,3,3.0669982722847164
COSO,35.98234320031499,4,5.332471589682063
COSO,35.98234320031499,5,3.04696981983796
COSO,35.98234320031499,6,1.426415608535665
COSO,35.98234320031499,7,7.895830110695044
COSO,35.98234320031499,8,12.012521840874738
COSO,35.98234320031499,9,14.041109881436583
COSO,35.98234320031499,10,15.281430157850137
COSO,35.98234320031499,11,21.033086225009914
COSO,35.98234320031499,12,12.447217648257627
COSO,35.98234320031499,13,6.49299653438954
COSO,35.98234320031499,14,11.094053675011189
COSO,35.98234320031499,15,7.932729742716068
COSO,35.98234320031499,16,15.677012956164171
COSO,35.98234320031499,17,14.538148872051384
COSO,35.98234320031499,18,6.675368137275447
COSO,35.98234320031499,19,4.098167778000965
COSO,35.98234320031499,20,3.482692423783593
COSO,35.98234320031499,21,3.031098317177247
COSO,35.98234320031499,22,1.907591979729955
COSO,35.98234320031499,23,2.887392481281485
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,0,4.023582894952627
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,1,3.626459347463854
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,2,3.9029771484655305
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,3,3.9917569567753755
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,4,4.781475259888907
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,5,4.70523283048588
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,6,2.6747219846209136
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,7,3.6258628708933003
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,8,10.134601377428035
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,9,15.021446123603859
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,10,19.41463726270527
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,11,15.779104752598144
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,12,8.702658479830934
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,13,8.55159078211696
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,14,11.452714372667632
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,15,13.714520288535294
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,16,13.138850544643446
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,17,15.47788975327636
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,18,18.26043798288761
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,19,11.617560605960197
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,20,6.755648465275302
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,21,2.663936381889439
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,22,3.188481494139026
NRC1 CACS-GSD 943020 Ottawa ON Canada,45.45416223006912,23,3.7529307500547526
NOVM,55.03050086969008,0,5.788456316574338
NOVM,55.03050086969008,1,5.895648357955766
NOVM,55.03050086969008,2,5.037789470953173
NOVM,55.03050086969008,3,5.613904143996246
NOVM,55.03050086969008,4,5.651260937263789
NOVM,55.03050086969008,5,5.558692927518253
NOVM,55.03050086969008,6,5.680191207869471
NOVM,55.03050086969008,7,5.1994267918182615
NOVM,55.03050086969008,8,8.546241890789323
NOVM,55.03050086969008,9,16.309824208168983
NOVM,55.03050086969008,10,19.988269220965385
NOVM,55.03050086969008,11,21.55093929258259
NOVM,55.03050086969008,12,26.744404112453054
NOVM,55.03050086969008,13,26.393551386471792
NOVM,55.03050086969008,14,15.326169762607684
NOVM,55.03050086969008,15,14.717119805324142
NOVM,55.03050086969008,16,15.03516980995666
NOVM,55.03050086969008,17,13.160481478261474
NOVM,55.03050086969008,18,12.401119157706594
NOVM,55.03050086969008,19,9.648126127397914
NOVM,55.03050086969008,20,5.610376840916074
NOVM,55.03050086969008,21,7.934095978282754
NOVM,55.03050086969008,22,7.075020276001392
NOVM,55.03050086969008,23,4.980033687463519
HOLM,70.7363043601791,0,4.609075917791441
HOLM,70.7363043601791,1,2.849684734717078
HOLM,70.7363043601791,2,3.0935218387298455
HOLM,70.7363043601791,3,3.163230706526673
HOLM,70.7363043601791,4,1.622816732991505
HOLM,70.7363043601791,5,2.860095465346318
HOLM,70.7363043601791,6,4.200917829761989
HOLM,70.7363043601791,7,3.928165911002269
HOLM,70.7363043601791,8,5.6671455894775615
HOLM,70.7363043601791,9,7.373439740800352
HOLM,70.7363043601791,10,9.106488286476718
HOLM,70.7363043601791,11,7.861354590512118
HOLM,70.7363043601791,12,7.5553576726149565
HOLM,70.7363043601791,13,15.989198814595461
HOLM,70.7363043601791,14,18.107422904701842
HOLM,70.7363043601791,15,10.078841283549664
HOLM,70.7363043601791,16,9.865507755273615
HOLM,70.7363043601791,17,7.372620924751564
HOLM,70.7363043601791,18,5.059900154925733
HOLM,70.7363043601791,19,3.752444875860096
HOLM,70.7363043601791,20,4.159467988224721
HOLM,70.7363043601791,21,2.9759805095971186
HOLM,70.7363043601791,22,2.130364388636634
HOLM,70.7363043601791,23,3.488154259956115
